order_id,customer_id,order_date,total_amount,currency,status,rate_to_usd,date,total_amount_usd
101,1,2023-05-01,150.0,USD,COMPLETED,1.0,,150.0
102,2,2023-05-01,200.0,EUR,COMPLETED,1.1,2023-05-01,220.0
104,1,2023-05-02,300.0,EUR,COMPLETED,1.12,2023-05-02,336.0
105,4,2023-05-03,10000.0,JPY,COMPLETED,0.0069,2023-05-03,69.0
106,99,2023-05-04,75.5,USD,COMPLETED,1.0,,75.5
107,5,2023-05-05,120.0,,COMPLETED,1.0,,120.0
108,6,2023-05-06,450.0,USD,COMPLETED,1.0,,450.0
109,7,2023-05-06,15.99,USD,CANCELLED,1.0,,15.99
110,8,2023-05-07,89.0,EUR,COMPLETED,1.0,,89.0
111,1,2023-05-08,1200.0,GBP,COMPLETED,1.0,,1200.0
112,2,2023-05-08,55.0,USD,PENDING,1.0,,55.0
115,3,2023-05-10,25000.0,JPY,COMPLETED,1.0,,25000.0
116,6,2023-05-11,75.0,,COMPLETED,1.0,,75.0
117,7,,40.0,USD,COMPLETED,1.0,,40.0
118,99,2023-05-12,500.0,GBP,COMPLETED,1.0,,500.0
119,4,2023-05-13,320.5,USD,COMPLETED,1.0,,320.5
120,5,2023-05-14,99.99,EUR,COMPLETED,1.0,,99.99
